"","P1","P2","P3","P4","P5","Team","Mins","oMins","dMins","oPOSS","dPOSS","ORTG","DRTG","NETRTG","PTS","dPTS","FGA","dFGA","FGM","dFGM","TPA","dTPA","TPM","dTPM","FTA","dFTA","FTM","dFTM","RIMA","dRIMA","RIMM","dRIMM","ORB","dORB","DRB","dDRB","BLK","dBLK","TO","dTO","AST","dAST","ePOSS","FG.","dFG.","TPP","dTPP","FTP","dFTP","eFG.","deFG.","TS.","dTS.","RIM.","dRIM.","MID.","dMID.","TPrate","dTPrate","RIMrate","dRIMrate","MIDrate","dMIDrate","FTrate","dFTrate","ASTrate","dASTrate","TOrate","dTOrate","BLKrate","oBLKrate","ORB.","DRB.","TimePerPoss","dTimePerPoss"
"1","AAMIR.SIMMS","CLYDE.TRAPP","DAVID.SKARA","ELIJAH.THOMAS","MARCQUISE.REED","Clemson",6.1,2.9,3.2,11,12,72.727,125,-52.273,8,15,6,9,2,5,0,7,0,4,6,2,4,1,4,2,2,1,0,0,5,5,0,0,2,2,1,5,11.5,0.333,0.556,0,0.571,0.667,0.5,0.333,0.778,0.452,0.754,0.5,0.5,0,0,0,0.778,0.667,0.222,0.333,0,1,0.222,0.5,1,0.182,0.167,0,0,0,1,15.818,16
"2","AAMIR.SIMMS","CLYDE.TRAPP","DAVID.SKARA","JAVAN.WHITE","MARCQUISE.REED","Clemson",0.65,0,0.65,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39
"3","AAMIR.SIMMS","CLYDE.TRAPP","DAVID.SKARA","JOHN.NEWMAN","TREY.JEMISON","Clemson",1.117,0.4,0.717,2,2,0,50,-50,0,1,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1.5,0,0,0,0,0,0.333,0,0,0,0.351,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,12,21.5
"4","AAMIR.SIMMS","CLYDE.TRAPP","DAVID.SKARA","MARCQUISE.REED","SHELTON.MITCHELL","Clemson",2.3,0.933,1.367,5,4,60,75,-15,3,3,5,2,1,1,2,0,0,0,2,2,1,1,2,1,0,1,1,0,1,4,0,0,0,1,0,0,4.5,0.2,0.5,0,0,0.5,0.5,0.2,0.5,0.252,0.508,0,1,1,0,0.4,0,0.4,0.5,0.2,0.5,0.4,1,0,0,0,0.25,0,0,0.2,1,11.2,20.5
"5","AAMIR.SIMMS","CLYDE.TRAPP","DAVID.SKARA","MARCQUISE.REED","TREY.JEMISON","Clemson",1.25,0.75,0.5,2,2,200,150,50,4,3,1,2,1,1,0,2,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0.5,0,0.5,1,0,1,0.75,1.026,0.75,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,22.5,15
"6","AAMIR.SIMMS","CLYDE.TRAPP","ELIJAH.THOMAS","JOHN.NEWMAN","MARCQUISE.REED","Clemson",1.067,0.483,0.583,1,2,0,200,-200,0,4,1,1,0,1,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1.5,0,1,0,0,0,1,0,1,0,1.026,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,29,17.5
"7","AAMIR.SIMMS","CLYDE.TRAPP","ELIJAH.THOMAS","MARCQUISE.REED","SHELTON.MITCHELL","Clemson",1.2,0.483,0.717,3,2,66.667,100,-33.333,2,2,1,2,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2.5,0,0.5,0,0,1,0,0,0.5,0.513,0.5,0,0,0,0.5,0,0,0,0,1,1,2,0,0,0,0.333,0,0,0,0,1,9.667,21.5
"8","AAMIR.SIMMS","DAVID.SKARA","ELIJAH.THOMAS","JOHN.NEWMAN","SHELTON.MITCHELL","Clemson",1.2,0.217,0.983,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,13,59
"9","AAMIR.SIMMS","DAVID.SKARA","ELIJAH.THOMAS","MARCQUISE.REED","SHELTON.MITCHELL","Clemson",14.233,6.7,7.533,22,20,72.727,90,-17.273,16,18,22,22,6,7,10,8,1,4,5,0,3,0,8,2,4,0,4,4,11,14,1,1,2,2,1,3,21,0.273,0.318,0.1,0.5,0.6,0,0.295,0.409,0.328,0.409,0.5,0,0.25,0.25,0.455,0.364,0.364,0.091,0.182,0.545,0.227,0,0.167,0.429,0.091,0.1,0.045,0.045,0.222,0.733,18.273,22.6
"10","AARON.CALIXTE","BRADY.MANEK","CHRISTIAN.JAMES","MATT.FREEMAN","RASHARD.ODOMES","Oklahoma",3.183,1.867,1.317,5,5,40,100,-60,2,5,5,4,1,2,2,2,0,1,0,0,0,0,0,0,0,0,1,0,2,3,0,1,1,1,1,1,5,0.2,0.5,0,0.5,0,0,0.2,0.625,0.2,0.625,0,0,0.333,0.5,0.4,0.5,0,0,0.6,0.5,0,0,1,0.5,0.2,0.2,0,0.2,0.25,1,22.4,15.8
